months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_annual_premium,insured_education_level,insured_sex,insured_occupation,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,police_report_available,fraud_reported
91,2000,8000000,43900,0,13,3,2,0,13000,13000,58500,1316.63,Masters,FEMALE,machine-op-inspct,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Other,YES,?,N
256,1000,0,0,-39500,14,1,2,1,7550,15100,52850,1286.44,MD,FEMALE,transport-moving,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,?,N
274,1000,0,0,0,22,3,1,3,15100,15100,60400,1372.18,High School,MALE,exec-managerial,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,NO,?,N
275,2000,0,39400,-63900,8,3,1,1,5360,10720,48240,1447.77,Associate,FEMALE,adm-clerical,wife,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,YES,?,N
1,500,0,0,0,1,3,1,0,6340,3170,22190,903.32,High School,FEMALE,transport-moving,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,?,N
85,1000,0,51600,-73900,19,1,0,1,12380,12380,49520,1454.42,Associate,MALE,protective-serv,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Other,YES,YES,Y
233,2000,0,61600,-30200,17,1,0,2,13420,6710,60390,1603.42,High School,FEMALE,sales,wife,Single Vehicle Collision,Front Collision,Total Loss,Fire,YES,YES,N
142,2000,0,58500,-46800,13,3,0,3,6360,12720,44520,1616.58,JD,MALE,adm-clerical,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Other,YES,YES,N
266,500,0,0,0,4,1,1,2,3280,3280,26240,1611.83,High School,MALE,handlers-cleaners,husband,Single Vehicle Collision,Front Collision,Total Loss,Police,?,YES,N
350,500,0,0,0,14,3,0,2,9820,4910,29460,889.13,Masters,FEMALE,priv-house-serv,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NO,NO,N
97,1000,0,0,0,4,2,2,2,10080,5040,35280,1252.08,College,MALE,exec-managerial,not-in-family,Multi-vehicle Collision,Rear Collision,Major Damage,Other,YES,NO,Y
399,2000,0,0,-65400,23,3,1,1,17680,8840,61880,995.56,JD,MALE,tech-support,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,YES,YES,N
305,2000,0,0,-42100,21,3,0,2,12100,6050,48400,1347.92,High School,FEMALE,farming-fishing,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,YES,?,N
276,1000,0,0,0,23,3,0,0,5980,11960,47840,1724.09,PhD,MALE,craft-repair,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,YES,?,N
257,500,0,0,0,6,3,0,2,9420,4710,37680,1379.93,MD,MALE,armed-forces,husband,Multi-vehicle Collision,Side Collision,Major Damage,Other,?,YES,Y
78,1000,4000000,0,-27900,21,1,1,0,5060,10120,40480,1554.64,PhD,MALE,protective-serv,own-child,Single Vehicle Collision,Front Collision,Major Damage,Other,NO,NO,Y
129,1000,0,0,0,23,1,2,3,9920,4960,29760,1377.94,Masters,MALE,machine-op-inspct,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,?,?,N
283,2000,0,53500,-73600,3,3,1,3,7060,14120,56480,1313.33,PhD,FEMALE,transport-moving,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,?,NO,Y
85,500,0,67000,-53600,8,1,2,2,940,940,3760,1259.02,JD,FEMALE,tech-support,unmarried,Parked Car,?,Trivial Damage,None,NO,?,N
101,1000,0,0,0,4,1,2,2,580,580,2030,1371.88,MD,FEMALE,prof-specialty,husband,Parked Car,?,Trivial Damage,None,?,?,N
96,500,6000000,38900,-48700,22,1,0,0,0,6680,46760,1399.27,College,MALE,prof-specialty,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,?,YES,N
121,1000,6000000,0,0,16,1,0,1,7250,7250,50750,1061.98,JD,FEMALE,armed-forces,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,YES,N
176,500,4000000,0,-56600,14,3,2,1,4920,4920,34440,1365.46,College,MALE,armed-forces,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,NO,N
159,1000,0,0,-53700,13,1,2,0,7810,7810,54670,894.4,Associate,MALE,tech-support,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,YES,NO,N
120,500,0,39600,-64300,20,1,1,1,8710,8710,69680,956.69,Associate,FEMALE,priv-house-serv,husband,Single Vehicle Collision,Front Collision,Minor Damage,Other,?,YES,N
212,2000,0,35400,-49200,0,3,1,3,4580,4580,41220,1123.89,MD,MALE,priv-house-serv,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,?,?,N
290,500,0,0,-61000,23,3,2,2,12960,6480,45360,1085.03,JD,FEMALE,sales,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,YES,NO,Y
299,2000,0,25000,0,13,1,1,3,12800,12800,44800,1437.33,Associate,FEMALE,craft-repair,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,YES,NO,N
66,1000,0,0,0,8,1,2,2,0,10520,47340,988.29,College,MALE,armed-forces,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Police,?,YES,Y
334,500,0,0,0,3,1,0,3,960,960,4320,1238.89,Masters,MALE,protective-serv,other-relative,Vehicle Theft,?,Minor Damage,None,?,NO,N
216,1000,5000000,0,0,16,1,2,3,16650,11100,38850,1384.64,Associate,FEMALE,tech-support,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,?,NO,Y
86,2000,0,75800,0,19,1,0,2,11820,11820,47280,1595.07,PhD,MALE,transport-moving,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,YES,YES,N
429,1000,6000000,67400,-43800,0,1,2,0,6580,6580,26320,1127.89,Associate,MALE,machine-op-inspct,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,YES,YES,N
257,2000,6000000,46400,-74300,12,1,2,2,10540,5270,47430,929.7,PhD,FEMALE,handlers-cleaners,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,?,YES,N
15,1000,0,56700,0,21,3,1,0,12300,6150,49200,1829.63,JD,MALE,tech-support,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,YES,?,N
230,1000,7000000,68600,-22300,0,1,1,3,14840,14840,44520,904.7,MD,FEMALE,craft-repair,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,?,NO,Y
250,1000,0,47900,-73400,22,1,1,3,12980,12980,38940,1243.84,JD,FEMALE,tech-support,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,YES,NO,N
270,2000,0,47200,0,20,3,1,0,7180,3590,25130,1030.95,Associate,FEMALE,machine-op-inspct,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,?,NO,Y
65,500,3000000,0,-41500,0,1,1,3,5220,10440,36540,1285.03,High School,FEMALE,craft-repair,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NO,?,N
475,500,0,67400,-83200,20,1,0,2,6500,13000,58500,1216.56,Masters,MALE,adm-clerical,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,?,NO,N
77,2000,0,56400,-32800,1,3,0,0,6720,6720,53760,966.26,High School,FEMALE,adm-clerical,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,YES,?,N
256,500,0,56700,-65600,11,1,0,0,11500,5750,46000,1203.17,MD,FEMALE,prof-specialty,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NO,?,N
229,2000,0,65600,0,14,3,1,1,11460,5730,51570,1212.12,MD,FEMALE,craft-repair,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,YES,YES,N
110,1000,0,30400,0,20,3,0,2,10840,10840,43360,1573.93,College,MALE,other-service,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,YES,?,N
177,1000,0,0,-13200,22,1,1,3,20700,13800,48300,1609.67,College,MALE,adm-clerical,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,?,?,Y
292,500,0,0,0,12,1,1,0,6170,6170,49360,1097.57,PhD,MALE,priv-house-serv,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,NO,YES,N
451,2000,2000000,0,-42600,3,3,2,1,15620,7810,54670,1618.65,Associate,FEMALE,transport-moving,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,YES,Y
61,500,0,47400,0,15,3,2,1,9360,9360,46800,922.67,College,FEMALE,priv-house-serv,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,?,Y
150,1000,0,0,0,8,1,0,2,450,450,3600,1342.02,MD,MALE,prof-specialty,own-child,Parked Car,?,Trivial Damage,None,YES,NO,N
283,500,0,60700,-54300,13,3,0,2,0,6100,36600,1195.01,Associate,FEMALE,sales,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,NO,?,Y
291,1000,0,0,-55300,8,1,2,2,620,620,4340,994.74,High School,FEMALE,adm-clerical,own-child,Parked Car,?,Minor Damage,Police,NO,YES,Y
162,1000,0,30700,0,7,1,0,0,360,720,2520,1050.24,Masters,FEMALE,adm-clerical,wife,Parked Car,?,Minor Damage,None,?,NO,Y
154,2000,7000000,68500,0,9,1,2,0,280,280,2240,1313.51,Masters,FEMALE,exec-managerial,own-child,Vehicle Theft,?,Trivial Damage,None,?,?,N
289,2000,0,73000,-37900,15,1,1,0,6000,6000,42000,1102.29,Associate,FEMALE,adm-clerical,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NO,YES,N
10,1000,0,0,-60700,5,1,0,2,4450,8900,35600,1185.78,JD,FEMALE,craft-repair,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,?,?,Y
309,500,0,69400,0,15,4,0,1,15560,15560,46680,1527.95,PhD,MALE,exec-managerial,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,YES,?,N
396,1000,0,0,-22400,22,3,2,1,11680,5840,35040,1366.39,High School,MALE,protective-serv,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,YES,NO,N
273,1000,0,0,0,16,2,1,2,4010,8020,32080,1403.9,PhD,FEMALE,farming-fishing,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,?,YES,N
129,2000,0,51500,0,7,1,1,3,13520,6760,54080,927.23,PhD,FEMALE,sales,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,NO,?,N
140,2000,6000000,59000,0,2,1,1,2,680,680,4760,1554.86,JD,FEMALE,armed-forces,wife,Parked Car,?,Minor Damage,None,YES,?,Y
419,2000,6000000,45700,0,17,4,0,0,5190,10380,46710,736.07,College,MALE,transport-moving,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Police,?,YES,N
315,1000,6000000,0,-56800,12,3,1,0,4860,4860,17010,974.16,Masters,FEMALE,sales,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,?,YES,N
72,500,0,0,-85900,9,1,1,0,6620,6620,52960,973.8,Associate,FEMALE,craft-repair,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,?,NO,N
32,2000,6000000,0,-79800,16,1,1,2,9100,4550,31850,1260.32,JD,MALE,other-service,not-in-family,Single Vehicle Collision,Side Collision,Total Loss,Fire,?,?,N
230,1000,0,0,0,19,3,2,0,4420,4420,44200,1464.03,JD,MALE,transport-moving,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,?,?,N
157,2000,0,0,-54100,14,3,1,2,10160,5080,35560,617.11,College,MALE,other-service,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,?,NO,Y
265,2000,6000000,81800,0,18,3,1,3,4420,4420,35360,1724.46,Associate,FEMALE,craft-repair,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,?,?,N
47,500,0,64800,-24300,23,1,1,3,11440,5720,45760,1161.31,PhD,FEMALE,exec-managerial,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Police,YES,?,N
113,2000,0,36100,-42300,15,3,0,2,5550,5550,38850,1091.73,PhD,MALE,exec-managerial,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,?,YES,Y
289,2000,0,0,0,18,1,0,1,6270,6270,43890,1209.07,JD,MALE,armed-forces,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,YES,YES,Y
254,2000,0,0,0,16,1,2,2,18220,18220,63770,1241.04,Masters,FEMALE,protective-serv,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Police,NO,YES,N
115,500,0,46400,0,12,3,1,0,5460,5460,38220,1757.21,High School,MALE,prof-specialty,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NO,YES,N
236,1000,0,0,-62500,16,1,0,1,16710,5570,44560,802.24,College,FEMALE,other-service,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NO,?,N
7,1000,0,0,-45300,21,1,1,2,6940,6940,48580,1342.72,Associate,MALE,machine-op-inspct,wife,Single Vehicle Collision,Front Collision,Total Loss,Other,?,?,N
208,2000,5000000,0,0,15,3,0,1,11420,11420,39970,1209.41,JD,MALE,machine-op-inspct,wife,Multi-vehicle Collision,Side Collision,Total Loss,Other,YES,?,N
126,1000,2000000,36700,-73400,21,1,1,2,6770,6770,40620,1141.71,JD,FEMALE,priv-house-serv,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,YES,?,N
48,500,0,0,-51000,1,1,0,2,9680,4840,33880,1090.03,JD,FEMALE,exec-managerial,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,NO,N
297,1000,3000000,54900,-36700,17,3,0,0,5720,5720,40040,1464.73,PhD,MALE,exec-managerial,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Fire,?,NO,N
160,1000,0,0,-36600,5,3,2,1,5170,10340,36190,1118.58,High School,FEMALE,prof-specialty,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NO,NO,N
406,2000,0,0,-42700,15,3,1,2,10920,5460,49140,1117.04,MD,MALE,exec-managerial,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Other,?,?,N
157,500,7000000,40700,-41600,2,4,2,2,4770,9540,33390,1257.83,High School,MALE,farming-fishing,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NO,NO,Y
146,2000,0,61400,-57500,3,1,2,0,580,580,4060,1082.72,PhD,FEMALE,machine-op-inspct,not-in-family,Vehicle Theft,?,Minor Damage,None,YES,NO,N
409,1000,6000000,55600,0,19,1,1,0,6110,12220,54990,1191.8,High School,MALE,protective-serv,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Other,NO,?,N
252,1000,0,0,-28800,17,1,0,2,14980,7490,52430,1242.02,Masters,MALE,adm-clerical,wife,Single Vehicle Collision,Front Collision,Minor Damage,Fire,YES,YES,N
6,500,0,0,-47400,7,1,0,1,580,290,2320,1075.71,High School,FEMALE,prof-specialty,unmarried,Vehicle Theft,?,Trivial Damage,Police,?,YES,N
103,1000,6000000,0,0,21,1,1,0,12820,6410,57690,969.88,MD,MALE,armed-forces,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NO,YES,N
369,2000,0,0,0,10,2,1,3,7090,14180,56720,1459.93,Masters,FEMALE,priv-house-serv,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,YES,NO,N
261,1000,0,0,0,11,1,1,0,9180,9180,41310,1245.61,MD,MALE,transport-moving,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,YES,?,N
159,2000,0,69200,-36900,23,3,2,0,8160,4080,32640,1462.76,College,FEMALE,craft-repair,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,YES,NO,Y
344,2000,0,0,0,14,1,0,2,7530,15060,60240,1398.46,Associate,MALE,sales,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,?,NO,N
437,1000,0,48800,0,10,1,1,3,7680,15360,61440,1269.64,College,FEMALE,armed-forces,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,NO,NO,Y
65,500,4000000,0,-66300,6,3,2,3,15960,7980,55860,1455.65,College,FEMALE,transport-moving,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,?,NO,N
280,2000,0,29300,-64700,10,3,0,3,9640,9640,33740,1140.31,MD,MALE,adm-clerical,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,?,YES,N
269,500,0,54800,-64100,5,3,0,0,2200,4400,17600,1330.46,High School,FEMALE,machine-op-inspct,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,?,NO,N
275,2000,0,0,-45300,17,1,1,3,7860,7860,27510,1190.6,Masters,MALE,exec-managerial,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,?,YES,N
265,500,0,0,0,3,1,2,3,290,580,2320,972.5,College,FEMALE,exec-managerial,unmarried,Vehicle Theft,?,Trivial Damage,None,NO,NO,N
283,2000,0,0,-50400,9,1,0,3,1300,650,3900,1161.91,Associate,FEMALE,adm-clerical,not-in-family,Parked Car,?,Minor Damage,None,?,NO,N
84,1000,0,0,-29900,6,1,2,0,620,1240,4960,1117.17,High School,FEMALE,machine-op-inspct,not-in-family,Parked Car,?,Trivial Damage,Police,YES,YES,N
247,2000,0,64000,0,22,3,2,2,11580,11580,46320,1101.51,College,FEMALE,farming-fishing,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NO,NO,N
56,1000,0,0,0,10,3,1,2,7880,15760,70920,1523.17,Masters,MALE,prof-specialty,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,?,YES,N
210,1000,0,0,0,4,1,1,2,780,780,6240,984.45,Associate,MALE,armed-forces,unmarried,Vehicle Theft,?,Minor Damage,None,YES,?,N
108,2000,4000000,63900,-43700,23,1,1,3,5570,11140,44560,1257,High School,FEMALE,machine-op-inspct,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Other,NO,NO,N
328,500,0,0,0,19,1,0,2,8930,8930,53580,1434.51,Masters,FEMALE,transport-moving,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,?,YES,N
186,2000,0,0,0,22,1,1,2,11120,5560,38920,1628,JD,FEMALE,priv-house-serv,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,YES,N
277,500,0,0,0,6,1,1,3,1000,500,3500,1412.31,High School,MALE,priv-house-serv,unmarried,Vehicle Theft,?,Trivial Damage,Police,NO,NO,N
138,500,5000000,56900,-56900,6,1,2,0,14740,14740,66330,1362.87,JD,FEMALE,exec-managerial,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,NO,?,N
208,1000,0,0,0,18,1,2,2,6930,13860,48510,1134.68,College,FEMALE,tech-support,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,NO,?,N
147,1000,0,0,0,22,1,1,0,13520,20280,47320,1306.78,MD,MALE,prof-specialty,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,?,NO,N
8,500,0,0,0,21,1,0,0,14040,14040,63180,1021.9,High School,MALE,handlers-cleaners,husband,Single Vehicle Collision,Front Collision,Major Damage,Other,?,?,N
297,1000,0,0,-54700,12,1,0,0,6060,12120,42420,1538.6,MD,FEMALE,other-service,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,?,?,N
150,1000,0,52800,0,6,3,0,3,6480,12960,45360,1354.5,Masters,MALE,machine-op-inspct,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,?,YES,Y
4,500,0,0,0,0,4,0,0,6080,12160,48640,1282.93,College,FEMALE,exec-managerial,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,?,Y
210,1000,0,44900,-91400,11,1,0,2,5820,5820,46560,1346.27,Masters,MALE,farming-fishing,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NO,?,N
91,1000,4000000,63600,0,19,1,1,0,6730,6730,47110,1338.4,High School,FEMALE,priv-house-serv,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,?,NO,N
167,1000,0,0,-38400,22,3,0,0,8710,8710,52260,949.44,Masters,FEMALE,exec-managerial,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,?,NO,Y
467,2000,0,82200,0,2,1,2,3,5570,11140,38990,977.4,Masters,MALE,transport-moving,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,YES,NO,N
264,2000,10000000,0,-67400,16,4,1,2,5670,5670,51030,1181.46,JD,FEMALE,transport-moving,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,YES,YES,N
270,500,0,83200,-53300,23,3,0,0,9880,0,44460,1187.53,PhD,FEMALE,priv-house-serv,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,?,YES,N
310,1000,0,0,0,21,1,1,0,6130,6130,42910,845.16,Masters,FEMALE,priv-house-serv,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,YES,NO,Y
143,500,0,67900,0,10,1,2,3,11700,5850,40950,1442.27,College,MALE,priv-house-serv,wife,Single Vehicle Collision,Front Collision,Minor Damage,Other,?,YES,N
146,2000,0,0,0,12,1,0,3,6660,6660,46620,1276.43,Associate,MALE,priv-house-serv,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Fire,?,?,N
102,500,0,55200,0,6,1,1,0,7340,7340,58720,1075.41,MD,MALE,machine-op-inspct,wife,Single Vehicle Collision,Side Collision,Total Loss,Police,NO,NO,N
61,500,0,54600,0,6,1,1,2,4650,4650,32550,1111.72,JD,MALE,exec-managerial,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Fire,?,?,N
255,2000,6000000,68500,0,7,1,2,2,640,1280,4480,814.96,PhD,FEMALE,priv-house-serv,not-in-family,Parked Car,?,Trivial Damage,Police,?,NO,Y
211,1000,0,0,0,3,1,1,1,580,290,2320,1575.86,PhD,FEMALE,other-service,own-child,Vehicle Theft,?,Trivial Damage,Police,NO,NO,N
61,1000,0,0,-66000,10,1,2,1,590,590,4720,1115.27,JD,MALE,handlers-cleaners,unmarried,Parked Car,?,Trivial Damage,None,YES,YES,N
108,2000,0,0,0,14,1,0,2,6370,6370,44590,1175.7,Masters,MALE,protective-serv,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NO,NO,N
303,500,0,54600,-45500,17,3,0,3,13660,13660,54640,793.15,MD,MALE,tech-support,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Other,NO,NO,N
152,500,0,0,0,16,1,0,0,6400,19200,44800,942.51,PhD,FEMALE,transport-moving,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,YES,?,Y
120,1000,0,77900,0,3,1,2,1,580,580,2610,1056.71,JD,FEMALE,protective-serv,not-in-family,Parked Car,?,Minor Damage,None,NO,?,N
144,2000,6000000,23600,-15600,7,1,0,0,740,1480,5180,1255.68,Associate,FEMALE,sales,other-relative,Parked Car,?,Minor Damage,None,NO,?,N
414,500,0,44000,-71000,13,1,1,1,6090,6090,42630,1335.13,High School,FEMALE,farming-fishing,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,YES,?,Y
163,500,6000000,0,-67300,20,1,2,3,4940,9880,34580,1178.95,JD,FEMALE,priv-house-serv,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Fire,YES,YES,N
352,500,0,0,0,23,1,2,2,12500,6250,50000,1793.16,Associate,MALE,tech-support,wife,Single Vehicle Collision,Front Collision,Minor Damage,Fire,YES,NO,N
27,500,0,37900,0,11,1,1,0,12300,6150,43050,1008.38,PhD,FEMALE,adm-clerical,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NO,?,N
239,500,0,0,0,0,4,0,3,6990,13980,55920,1396.83,Masters,FEMALE,other-service,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,?,NO,N
33,500,5000000,70300,-50300,2,1,0,1,6230,12460,37380,1402.78,PhD,FEMALE,other-service,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,YES,?,N
88,1000,0,42800,-51200,3,1,2,0,14000,0,42000,1437.88,College,FEMALE,transport-moving,husband,Single Vehicle Collision,Side Collision,Total Loss,Fire,NO,YES,N
101,1000,0,12100,0,3,1,1,0,780,390,3120,1313.64,College,FEMALE,priv-house-serv,unmarried,Parked Car,?,Trivial Damage,None,YES,NO,N
20,500,0,33000,-43600,15,3,2,1,6750,6750,47250,1482.14,Associate,FEMALE,transport-moving,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,?,NO,N
126,2000,0,46500,-42700,23,1,2,3,4430,4430,39870,1171.75,Associate,FEMALE,machine-op-inspct,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,?,NO,N
264,2000,0,0,-8500,9,3,2,0,17300,17300,60550,1353.33,Associate,MALE,adm-clerical,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Police,YES,NO,N
78,500,0,0,0,20,1,0,1,680,680,6120,1175.51,Masters,MALE,craft-repair,husband,Vehicle Theft,?,Minor Damage,Police,?,YES,N
123,2000,0,38000,-41200,5,1,2,1,13300,6650,59850,1836.02,Masters,MALE,transport-moving,own-child,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,?,YES,Y
347,500,9000000,0,-12100,15,1,0,2,8630,17260,77670,1480.79,MD,FEMALE,priv-house-serv,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,YES,?,N
163,2000,0,51700,0,13,1,2,3,15900,7950,55650,1453.92,PhD,FEMALE,other-service,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,YES,?,N
271,500,0,0,0,16,1,2,2,6930,13860,55440,1340.71,High School,FEMALE,tech-support,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NO,NO,Y
410,2000,0,0,-17000,0,1,0,2,9920,9920,39680,714.03,MD,MALE,protective-serv,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,YES,NO,N
448,2000,0,38600,-50300,10,3,2,1,5970,5970,35820,1376.16,PhD,FEMALE,tech-support,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Police,NO,?,Y
218,500,0,37900,-72900,14,3,2,0,15380,7690,61520,914.22,JD,MALE,prof-specialty,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,NO,NO,N
43,1000,0,64400,0,1,3,2,2,6850,6850,47950,1601.47,PhD,MALE,handlers-cleaners,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,YES,?,N
33,1000,6000000,45500,-60600,16,1,2,1,8140,8140,65120,1096.79,Associate,FEMALE,handlers-cleaners,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Police,?,?,N
126,2000,0,54500,0,2,3,0,1,10620,5310,42480,1078.22,Masters,FEMALE,transport-moving,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NO,YES,N
411,1000,0,0,0,23,3,0,0,3510,3510,31590,1595.28,College,FEMALE,protective-serv,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,?,?,N
225,1000,5000000,49600,0,19,3,2,2,9600,9600,38400,1217.84,High School,FEMALE,farming-fishing,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,?,NO,N
35,2000,0,0,-51900,23,3,2,2,5910,11820,35460,1117.42,PhD,FEMALE,protective-serv,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NO,NO,N
460,2000,0,62500,0,10,1,2,3,5830,11660,40810,1567.37,JD,FEMALE,craft-repair,husband,Single Vehicle Collision,Front Collision,Major Damage,Other,?,NO,Y
